Coverage report generated at 2026-02-06 11:09:56
Profile data: /Users/dlepage/perso/calliope/.build/arm64-apple-macosx/debug/codecov/default.profdata
Ignored paths regex: Sources/Calliope/App/CalliopeApp\.swift|Sources/Calliope/UI/(CompactFeedbackOverlay|ContentView|FeedbackPanel|InputLevelMeterView|PrivacyDisclosureSheet|RecordingsListView|RecordingsView|SessionView|SettingsView)\.swift
Line coverage: 84.03% (threshold 80%)

Filename                                                                                              Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
Sources/Calliope/Utils/RecordingsFolderActionModel.swift                                                    2                 0   100.00%           2                 0   100.00%           7                 0   100.00%           0                 0         -
Sources/Calliope/Utils/SessionDurationFormatter.swift                                                       4                 0   100.00%           1                 0   100.00%          10                 0   100.00%           0                 0         -
Sources/Calliope/Utils/SystemSettingsOpener.swift                                                          16                 6    62.50%          10                 2    80.00%          40                16    60.00%           0                 0         -
Sources/Calliope/Utils/WindowLevelController.swift                                                          9                 3    66.67%           5                 3    40.00%          23                 9    60.87%           0                 0         -
Tests/CalliopeTests/AnalysisPreferencesStoreTests.swift                                                    64                 4    93.75%          56                 0   100.00%         157                 8    94.90%           0                 0         -
Tests/CalliopeTests/AnalysisSummaryTests.swift                                                             90                22    75.56%          77                21    72.73%         345                33    90.43%           0                 0         -
Tests/CalliopeTests/AppBundleTemplateTests.swift                                                           32                 5    84.38%          26                 4    84.62%          81                 6    92.59%           0                 0         -
Tests/CalliopeTests/AppNavigationStateTests.swift                                                          10                 0   100.00%          10                 0   100.00%          18                 0   100.00%           0                 0         -
Tests/CalliopeTests/AudioAnalyzerTests.swift                                                               54                18    66.67%          49                15    69.39%         159                27    83.02%           0                 0         -
Tests/CalliopeTests/AudioBufferCopyTests.swift                                                             65                12    81.54%          41                 0   100.00%         154                24    84.42%           0                 0         -
Tests/CalliopeTests/AudioCapturePreferencesStoreTests.swift                                                24                 0   100.00%          18                 0   100.00%          68                 0   100.00%           0                 0         -
Tests/CalliopeTests/AudioCaptureSmokeTests.swift                                                           42                 8    80.95%          24                 4    83.33%         108                 9    91.67%           0                 0         -
Tests/CalliopeTests/AudioCaptureTests.swift                                                               271                18    93.36%         259                16    93.82%        1193                30    97.49%           0                 0         -
Tests/CalliopeTests/CaptureDiagnosticsFormatterTests.swift                                                 18                 0   100.00%          18                 0   100.00%          58                 0   100.00%           0                 0         -
Tests/CalliopeTests/CaptureStatusFormatterTests.swift                                                      14                 0   100.00%          14                 0   100.00%          52                 0   100.00%           0                 0         -
Tests/CalliopeTests/CoverageScriptTests.swift                                                               7                 0   100.00%           6                 0   100.00%          21                 0   100.00%           0                 0         -
Tests/CalliopeTests/CrutchWordDetectorTests.swift                                                          12                 0   100.00%          12                 0   100.00%          40                 0   100.00%           0                 0         -
Tests/CalliopeTests/ElapsedTimeFormatterTests.swift                                                         6                 0   100.00%           6                 0   100.00%          11                 0   100.00%           0                 0         -
Tests/CalliopeTests/InputLevelMeterTests.swift                                                             11                 0   100.00%          11                 0   100.00%          19                 0   100.00%           0                 0         -
Tests/CalliopeTests/LiveAnalysisSmokeTests.swift                                                           83                18    78.31%          41                 1    97.56%         235                30    87.23%           0                 0         -
Tests/CalliopeTests/LiveFeedbackViewModelTests.swift                                                       61                 1    98.36%          42                 0   100.00%         498                 0   100.00%           0                 0         -
Tests/CalliopeTests/MicTestEligibilityTests.swift                                                          14                 0   100.00%          14                 0   100.00%          93                 0   100.00%           0                 0         -
Tests/CalliopeTests/MicrophoneDeviceManagerTests.swift                                                     23                 0   100.00%          23                 0   100.00%         101                 0   100.00%           0                 0         -
Tests/CalliopeTests/MicrophonePermissionManagerTests.swift                                                 17                 0   100.00%          17                 0   100.00%          86                 0   100.00%           0                 0         -
Tests/CalliopeTests/MicrophonePermissionStateTests.swift                                                   20                 0   100.00%          20                 0   100.00%          45                 0   100.00%           0                 0         -
Tests/CalliopeTests/MicrophoneSettingsActionModelTests.swift                                               14                 1    92.86%          14                 1    92.86%          47                 1    97.87%           0                 0         -
Tests/CalliopeTests/OverlayPreferencesStoreTests.swift                                                     13                 3    76.92%           7                 0   100.00%          48                 6    87.50%           0                 0         -
Tests/CalliopeTests/OverlayVisibilityTests.swift                                                            4                 0   100.00%           4                 0   100.00%          32                 0   100.00%           0                 0         -
Tests/CalliopeTests/PaceAnalyzerTests.swift                                                                 8                 0   100.00%           8                 0   100.00%          31                 0   100.00%           0                 0         -
Tests/CalliopeTests/PaceFeedbackTests.swift                                                                43                 0   100.00%          43                 0   100.00%          82                 0   100.00%           0                 0         -
Tests/CalliopeTests/PathDisplayFormatterTests.swift                                                         9                 0   100.00%           9                 0   100.00%          29                 0   100.00%           0                 0         -
